Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,Cumulative Log Returns,Cumulative Returns,Cumulative Percentage Return
2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.15160369873047,573576400,,,,
2012-05-21,36.52999877929688,36.65999984741211,33.0,34.029998779296875,33.96021270751953,168192700,-0.11637816861508284,-0.11637816861508284,-0.1098614628184138,-10.98614628184138
2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,30.93642807006836,101786600,-0.09325523340740736,-0.2096334020224902,-0.1891185410091214,-18.91185410091214
2012-05-23,31.3700008392334,32.5,31.36000061035156,32.0,31.93437767028809,73600000,0.03174870794798797,-0.17788469407450225,-0.16296106652652365,-16.296106652652366
2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,32.96226501464844,50237200,0.031680323348359275,-0.14620437072614298,-0.136018887307081,-13.601888730708101
2012-05-25,32.900001525878906,32.95000076293945,31.11000061035156,31.90999984741211,31.844562530517575,37149800,-0.03449677651796651,-0.1807011472441095,-0.16531523073098942,-16.531523073098942
2012-05-29,31.479999542236328,31.690000534057617,28.649999618530277,28.84000015258789,28.78085708618164,78063400,-0.10115616463317607,-0.2818573118772856,-0.2456186818920184,-24.561868189201842
2012-05-30,28.700000762939453,29.549999237060547,27.86000061035156,28.190000534057617,28.132190704345703,57267900,-0.02279598429907747,-0.30465329617636305,-0.26262101780843816,-26.262101780843818
2012-05-31,28.549999237060547,29.670000076293945,26.82999992370605,29.600000381469727,29.53929901123047,111639200,0.04880704933242198,-0.2558462468439411,-0.2257389952859723,-22.57389952859723
2012-06-01,28.88999938964844,29.149999618530277,27.38999938964844,27.71999931335449,27.66315460205078,41855500,-0.06562017769087097,-0.32146642453481206,-0.2749150253159267,-27.491502531592673
2012-06-04,27.200000762939453,27.649999618530277,26.440000534057617,26.899999618530277,26.84483528137207,35230300,-0.03002792103501891,-0.35149434556983095,-0.29636417138959337,-29.636417138959338
2012-06-05,26.700000762939453,27.76000022888184,25.75,25.8700008392334,25.81694984436035,42473400,-0.03904220101266246,-0.3905365465824934,-0.32330630061510535,-32.33063006151053
2012-06-06,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,26.75502014160156,61489200,0.035690877650911536,-0.35484566893158187,-0.29871833559405914,-29.871833559405914
2012-06-07,27.0,27.350000381469727,26.149999618530277,26.309999465942383,26.256044387817383,26159500,-0.018825899654978908,-0.37367156858656075,-0.31179709783232323,-31.179709783232322
2012-06-08,26.549999237060547,27.76000022888184,26.440000534057617,27.100000381469727,27.04442596435547,38034000,0.02958469496968559,-0.3440868736168752,-0.2911326564955016,-29.113265649550158
2012-06-11,27.18000030517578,28.06999969482422,26.84000015258789,27.01000022888184,26.95461082458496,28219600,-0.0033265490621818155,-0.347413422679057,-0.2934868206999671,-29.348682069996713
2012-06-12,27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530277,27.343809127807617,15816800,0.014335775112079058,-0.33307764756697794,-0.28328545914525993,-28.328545914525993
2012-06-13,27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,27.21407699584961,17102800,-0.004755769905757088,-0.33783341747273504,-0.28668589633218533,-28.668589633218534
2012-06-14,27.649999618530277,28.31999969482422,27.3799991607666,28.290000915527344,28.23198509216309,16855000,0.03672118228714786,-0.30111223518558716,-0.26000528535835743,-26.00052853583574
2012-06-15,28.51000022888184,30.100000381469727,28.350000381469727,30.01000022888184,29.948457717895508,43563800,0.05902226968133566,-0.2420899655042515,-0.2150144472461043,-21.50144472461043
2012-06-18,29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,31.3455867767334,42978900,0.04559565649087729,-0.1964943090133742,-0.1783939929692534,-17.83939929692534
2012-06-19,31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,31.844562530517575,30849000,0.015793161769264957,-0.18070114724410924,-0.1653152307309892,-16.53152307309892
2012-06-20,31.920000076293945,31.93000030517578,31.149999618530277,31.600000381469727,31.53519821166992,15553600,-0.00976232072081783,-0.19046346796492708,-0.17342404632077668,-17.342404632077667
2012-06-21,31.670000076293945,32.5,31.51000022888184,31.84000015258789,31.774703979492188,21875300,0.007566175341115112,-0.18289729262381196,-0.16714630843815548,-16.71463084381555
2012-06-22,32.40999984741211,33.45000076293945,32.060001373291016,33.04999923706055,32.98221969604492,74834000,0.03729811828651299,-0.14559917433729896,-0.1354958508037123,-13.54958508037123
