,Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_100,Daily Returns,Log Returns,Cumulative Log Returns,Cumulative Returns,Cumulative Percentage Return,Rolling Mean,Rolling Std,Volatility 30,Volatility 100
0,2000-01-03,0.9363840222358704,1.004464030265808,0.9079239964485168,0.9994419813156128,0.8449808955192566,535796800,,,,,,,,,,,
1,2000-01-04,0.966517984867096,0.9877229928970336,0.9034600257873536,0.9151790142059326,0.7737406492233276,512377600,,,-0.08431001367259039,-0.08807741446672868,-0.08807741446672868,-0.08431001367259039,-8.43100136725904,,,,
2,2000-01-05,0.9263389706611632,0.9871649742126464,0.919642984867096,0.9285709857940674,0.785062849521637,778321600,,,0.014633171631185826,0.014527139910492091,-0.07355027455623658,-0.07091056494170322,-7.0910564941703225,,,,
3,2000-01-06,0.9475449919700624,0.955357015132904,0.8482139706611633,0.8482139706611633,0.7171249985694885,767972800,,,-0.0865383652539895,-0.09051390213467853,-0.1640641766909151,-0.1513124458264008,-15.131244582640079,,,,
4,2000-01-07,0.861607015132904,0.9017860293388368,0.8526790142059326,0.888392984867096,0.7510943412780762,460734400,,,0.047368960658139114,0.046281267765111885,-0.11778290892580323,-0.11111099846169936,-11.111099846169935,,,,
5,2000-01-10,0.9107139706611632,0.9129459857940674,0.845982015132904,0.872767984867096,0.7378841042518616,505064000,,,-0.017587937169874834,-0.01774444272518494,-0.13552735165098817,-0.12674472237174772,-12.674472237174772,,,,
6,2000-01-11,0.8565850257873535,0.8872770071029663,0.8080360293388367,0.828125,0.7001405954360962,441548800,,,-0.05115103399890886,-0.05250564372180485,-0.18803299537279303,-0.171412632767437,-17.1412632767437,,,,
7,2000-01-12,0.8482139706611633,0.8526790142059326,0.7723209857940674,0.7784600257873535,0.6581513285636902,976068800,,,-0.05997279904923347,-0.06184646695509312,-0.24987946232788616,-0.22110533643720898,-22.1105336437209,,,,
8,2000-01-13,0.8436099886894226,0.8816959857940674,0.825892984867096,0.8638389706611633,0.7303347587585449,1032684800,,,0.10967672333265344,0.10406873266471485,-0.14581072966317132,-0.13567872191635255,-13.567872191635255,,,,
9,2000-01-14,0.892857015132904,0.9129459857940674,0.8872770071029663,0.896763026714325,0.7581707835197449,390376000,,,0.03811364984837651,0.03740526800681048,-0.10840546165636084,-0.10273628336697116,-10.273628336697115,,,,
